model_name,roc_auc,f1,model
XGBClassifier,0.865175895788991,0.2959923587655757,
RandomForestClassifier,0.8642045025083075,0.25939791425850994,
model_2,0.857914998977203,0.3445294313269039,"<Sequential name=model_2, built=True>"
model_1,0.8572414276783626,0.33379310344827584,"<Sequential name=model_1, built=True>"
DecisionTreeClassifier,0.8473715608775569,0.2635706024906309,
model_3,0.8440413528930534,0.37819933754893104,"<Sequential name=model_3, built=True>"
LogisticRegression,0.8390259041558087,0.22010378809542389,
